experimento;alpha;epsilon;esparso;acuracia;seed;dataset;peso
sparse_com_sono;1.0;80.0;;0.10000000007450581;1;cifar;2465
sparse_com_sono;1.0;80.0;;0.09999999983236194;2;cifar;2495
sparse_com_sono;1.0;80.0;;0.10000000018626451;3;cifar;2439
sparse_com_sono;1.0;80.0;;0.09999999983236194;4;cifar;2519
sparse_com_sono;1.0;80.0;;0.10000000013038517;5;cifar;2525
sparse_com_sono;1.0;80.0;;0.09999999981373549;6;cifar;2554
sparse_com_sono;1.0;80.0;;0.10000000013038517;7;cifar;2518
sparse_com_sono;1.0;80.0;;0.09999999981373549;8;cifar;2417
sparse_com_sono;1.0;80.0;;0.10000000007450581;9;cifar;2501
sparse_com_sono;1.0;80.0;;0.09999999983236194;12;cifar;2517
sparse_com_sono;1.0;80.0;;0.10000000013038517;13;cifar;2579
sparse_com_sono;1.0;80.0;;0.10000000024214387;14;cifar;2484
sparse_com_sono;1.0;90.0;;0.09999999983236194;1;cifar;1223
sparse_com_sono;1.0;90.0;;0.09999999983236194;2;cifar;1264
sparse_com_sono;1.0;90.0;;0.10000000018626451;4;cifar;1296
sparse_com_sono;1.0;90.0;;0.09999999981373549;5;cifar;1296
sparse_com_sono;1.0;90.0;;0.10000000022351742;6;cifar;1257
sparse_com_sono;1.0;90.0;;0.09999999981373549;7;cifar;1296
sparse_com_sono;1.0;90.0;;0.10000000018626451;8;cifar;1227
sparse_com_sono;1.0;90.0;;0.09999999981373549;9;cifar;1262
sparse_com_sono;1.0;90.0;;0.10000000016763806;12;cifar;1272
sparse_com_sono;1.0;90.0;;0.10000000014901161;15;cifar;1328
sparse_com_sono;2.0;80.0;;0.10000000016763806;1;cifar;4992
sparse_com_sono;2.0;80.0;;0.10000000024214387;2;cifar;4992
sparse_com_sono;2.0;80.0;;0.09999999981373549;3;cifar;4951
sparse_com_sono;2.0;80.0;;0.18990000046789646;4;cifar;5093
sparse_com_sono;2.0;80.0;;0.10000000014901161;5;cifar;5114
sparse_com_sono;2.0;80.0;;0.19840000033378602;6;cifar;5002
sparse_com_sono;2.0;80.0;;0.19560000106692313;7;cifar;4997
sparse_com_sono;2.0;80.0;;0.10000000022351742;8;cifar;4891
sparse_com_sono;2.0;80.0;;0.20659999966621398;9;cifar;4986
sparse_com_sono;2.0;80.0;;0.22049999967217446;13;cifar;5090
sparse_com_sono;2.0;80.0;;0.19200000077486037;14;cifar;5004
sparse_com_sono;3.0;80.0;;0.31190000131726264;1;cifar;7504
sparse_com_sono;3.0;80.0;;0.23169999860227108;2;cifar;7533
sparse_com_sono;3.0;80.0;;0.2649000006914139;3;cifar;7526
sparse_com_sono;3.0;80.0;;0.19959999896585942;4;cifar;7640
sparse_com_sono;3.0;80.0;;0.23699999898672103;5;cifar;7575
sparse_com_sono;3.0;80.0;;0.10000000022351742;6;cifar;7503
sparse_com_sono;3.0;80.0;;0.28120000213384627;7;cifar;7495
sparse_com_sono;3.0;80.0;;0.26320000007748606;8;cifar;7317
sparse_com_sono;3.0;80.0;;0.2414999993890524;9;cifar;7502
sparse_com_sono;3.0;80.0;;0.25599999979138377;13;cifar;7586
sparse_com_sono;3.0;80.0;;0.19240000016987324;14;cifar;7519
sparse_com_sono;4.0;80.0;;0.32670000091195106;1;cifar;10001
sparse_com_sono;4.0;80.0;;0.3373000007867813;2;cifar;10118
sparse_com_sono;4.0;80.0;;0.33590000197291375;3;cifar;9995
sparse_com_sono;4.0;80.0;;0.2843000005185604;5;cifar;10037
sparse_com_sono;4.0;80.0;;0.2819000016152859;6;cifar;10038
sparse_com_sono;4.0;80.0;;0.3439000003039837;7;cifar;10083
sparse_com_sono;4.0;80.0;;0.31520000264048575;8;cifar;9811
sparse_com_sono;4.0;80.0;;0.2722000007331371;9;cifar;9997
sparse_com_sono;4.0;80.0;;0.31280000194907187;12;cifar;9974
sparse_com_sono;4.0;80.0;;0.368100001513958;13;cifar;10071
sparse_com_sono;4.0;80.0;;0.34040000170469287;14;cifar;10094
sparse_com_sono;5.0;80.0;;0.414299997985363;1;cifar;12442
sparse_com_sono;5.0;80.0;;0.4028999999165535;2;cifar;12589
sparse_com_sono;5.0;80.0;;0.3660000009834766;3;cifar;12614
sparse_com_sono;5.0;80.0;;0.38579999849200247;5;cifar;12575
sparse_com_sono;5.0;80.0;;0.2934000013768673;6;cifar;12490
sparse_com_sono;5.0;80.0;;0.3693000000715256;7;cifar;12642
sparse_com_sono;5.0;80.0;;0.38930000066757203;8;cifar;12276
sparse_com_sono;5.0;80.0;;0.42279999881982805;9;cifar;12562
sparse_com_sono;5.0;80.0;;0.33420000329613686;12;cifar;12458
sparse_com_sono;5.0;80.0;;0.39820000022649765;13;cifar;12530
sparse_com_sono;5.0;80.0;;0.3939999973773956;14;cifar;12611
sparse_com_sono;8.0;80.0;;0.46139999479055405;1;cifar;20059
sparse_com_sono;8.0;80.0;;0.441599999666214;2;cifar;20081
sparse_com_sono;8.0;80.0;;0.4539999970793724;3;cifar;20292
sparse_com_sono;8.0;80.0;;0.4529999965429306;4;cifar;20278
sparse_com_sono;8.0;80.0;;0.4665999957919121;5;cifar;20133
sparse_com_sono;8.0;80.0;;0.4462999978661537;6;cifar;20040
sparse_com_sono;8.0;80.0;;0.4595999959111214;7;cifar;20233
