experimento;alpha;epsilon;esparso;acuracia;seed;dataset;peso
sparse_com_sono;1.0;20.0;;0.1825000002980232;1;mnist_roupas;635
sparse_com_sono;1.0;20.0;;0.22139999978244304;2;mnist_roupas;648
sparse_com_sono;1.0;20.0;;0.09999999988824129;3;mnist_roupas;638
sparse_com_sono;1.0;20.0;;0.2673000007867813;4;mnist_roupas;625
sparse_com_sono;1.0;50.0;;0.09999999986961484;1;mnist_roupas;417
sparse_com_sono;1.0;50.0;;0.09999999990686774;2;mnist_roupas;385
sparse_com_sono;1.0;50.0;;0.0999999999627471;3;mnist_roupas;407
sparse_com_sono;1.0;50.0;;0.09999999990686774;4;mnist_roupas;414
sparse_com_sono;1.0;80.0;;0.09999999970197677;1;mnist_roupas;170
sparse_com_sono;1.0;80.0;;0.09999999947845936;2;mnist_roupas;168
sparse_com_sono;1.0;80.0;;0.09999999994412065;3;mnist_roupas;147
sparse_com_sono;1.0;80.0;;0.09999999986961484;4;mnist_roupas;169
sparse_com_sono;1.0;80.0;;0.09999999994412065;5;mnist_roupas;164
sparse_com_sono;1.0;80.0;;0.09999999970197677;6;mnist_roupas;177
sparse_com_sono;1.0;80.0;;0.09999999986961484;7;mnist_roupas;173
sparse_com_sono;1.0;80.0;;0.09999999994412065;8;mnist_roupas;150
sparse_com_sono;1.0;80.0;;0.09999999983236194;9;mnist_roupas;159
sparse_com_sono;1.0;80.0;;0.09999999970197677;10;mnist_roupas;168
sparse_com_sono;1.0;80.0;;0.09999999983236194;11;mnist_roupas;177
sparse_com_sono;1.0;80.0;;0.09999999983236194;12;mnist_roupas;179
sparse_com_sono;1.0;80.0;;0.09999999988824129;13;mnist_roupas;163
sparse_com_sono;1.0;80.0;;0.09999999990686774;14;mnist_roupas;164
sparse_com_sono;1.0;80.0;;0.09999999970197677;15;mnist_roupas;159
sparse_com_sono;1.0;80.0;;0.09999999994412065;16;mnist_roupas;164
sparse_com_sono;1.0;80.0;;0.10000000050291419;17;mnist_roupas;166
sparse_com_sono;1.0;80.0;;0.09999999970197677;18;mnist_roupas;170
sparse_com_sono;2.0;20.0;;0.09999999947845936;1;mnist_roupas;1276
sparse_com_sono;2.0;20.0;;0.09999999947845936;2;mnist_roupas;1264
sparse_com_sono;2.0;20.0;;0.09999999947845936;4;mnist_roupas;1271
sparse_com_sono;2.0;50.0;;0.09999999947845936;1;mnist_roupas;819
sparse_com_sono;2.0;50.0;;0.09999999947845936;2;mnist_roupas;768
sparse_com_sono;2.0;50.0;;0.09999999947845936;3;mnist_roupas;817
sparse_com_sono;2.0;50.0;;0.09999999986961484;4;mnist_roupas;824
sparse_com_sono;2.0;80.0;;0.09999999988824129;1;mnist_roupas;348
sparse_com_sono;2.0;80.0;;0.09999999990686774;2;mnist_roupas;334
sparse_com_sono;2.0;80.0;;0.10000000050291419;3;mnist_roupas;327
sparse_com_sono;2.0;80.0;;0.10000000050291419;4;mnist_roupas;341
sparse_com_sono;2.0;80.0;;0.09999999988824129;5;mnist_roupas;332
sparse_com_sono;2.0;80.0;;0.09999999986961484;6;mnist_roupas;362
sparse_com_sono;2.0;80.0;;0.09999999988824129;7;mnist_roupas;338
sparse_com_sono;2.0;80.0;;0.0999999999627471;8;mnist_roupas;315
sparse_com_sono;2.0;80.0;;0.09999999988824129;9;mnist_roupas;334
sparse_com_sono;2.0;80.0;;0.09999999988824129;10;mnist_roupas;345
sparse_com_sono;2.0;80.0;;0.09999999983236194;11;mnist_roupas;345
sparse_com_sono;2.0;80.0;;0.0999999999627471;12;mnist_roupas;359
sparse_com_sono;2.0;80.0;;0.09999999994412065;13;mnist_roupas;328
sparse_com_sono;2.0;80.0;;0.09999999986961484;14;mnist_roupas;335
sparse_com_sono;2.0;80.0;;0.09999999970197677;15;mnist_roupas;349
sparse_com_sono;2.0;80.0;;0.09999999990686774;16;mnist_roupas;322
sparse_com_sono;2.0;80.0;;0.09999999986961484;17;mnist_roupas;296
sparse_com_sono;2.0;80.0;;0.09999999983236194;18;mnist_roupas;323
sparse_com_sono;2.0;80.0;;0.09999999947845936;19;mnist_roupas;323
sparse_com_sono;3.0;20.0;;0.4978999954462051;1;mnist_roupas;1942
sparse_com_sono;3.0;50.0;;0.09999999947845936;1;mnist_roupas;1250
sparse_com_sono;3.0;50.0;;0.09999999947845936;2;mnist_roupas;1163
sparse_com_sono;3.0;50.0;;0.09999999947845936;3;mnist_roupas;1214
sparse_com_sono;3.0;50.0;;0.09999999947845936;4;mnist_roupas;1242
sparse_com_sono;3.0;80.0;;0.09999999970197677;1;mnist_roupas;522
sparse_com_sono;3.0;80.0;;0.09999999970197677;2;mnist_roupas;496
sparse_com_sono;3.0;80.0;;0.09999999947845936;3;mnist_roupas;489
sparse_com_sono;3.0;80.0;;0.2620000006258488;4;mnist_roupas;521
sparse_com_sono;3.0;80.0;;0.2878000013530254;5;mnist_roupas;503
sparse_com_sono;3.0;80.0;;0.4222999984025955;6;mnist_roupas;521
sparse_com_sono;3.0;80.0;;0.09999999994412065;7;mnist_roupas;499
sparse_com_sono;3.0;80.0;;0.09999999994412065;8;mnist_roupas;463
sparse_com_sono;3.0;80.0;;0.09999999990686774;9;mnist_roupas;495
sparse_com_sono;3.0;80.0;;0.09999999986961484;10;mnist_roupas;505
sparse_com_sono;3.0;80.0;;0.0999999999627471;11;mnist_roupas;513
sparse_com_sono;3.0;80.0;;0.10000000050291419;12;mnist_roupas;518
sparse_com_sono;3.0;80.0;;0.09999999970197677;13;mnist_roupas;494
sparse_com_sono;3.0;80.0;;0.09999999988824129;14;mnist_roupas;501
sparse_com_sono;3.0;80.0;;0.09999999947845936;15;mnist_roupas;520
sparse_com_sono;3.0;80.0;;0.2521999990940094;16;mnist_roupas;497
sparse_com_sono;3.0;80.0;;0.09999999970197677;17;mnist_roupas;464
sparse_com_sono;3.0;80.0;;0.2793000005185604;18;mnist_roupas;471
sparse_com_sono;3.0;80.0;;0.21730000048875808;19;mnist_roupas;483
sparse_com_sono;4.0;20.0;;0.3673000009357929;1;mnist_roupas;2578
sparse_com_sono;4.0;20.0;;0.5337999960780144;2;mnist_roupas;2565
sparse_com_sono;4.0;50.0;;0.4510999983549118;1;mnist_roupas;1642
sparse_com_sono;4.0;50.0;;0.3681000006198883;2;mnist_roupas;1582
sparse_com_sono;4.0;50.0;;0.45879999577999114;3;mnist_roupas;1621
sparse_com_sono;4.0;50.0;;0.5641999945044518;4;mnist_roupas;1661
sparse_com_sono;4.0;80.0;;0.09999999988824129;1;mnist_roupas;680
sparse_com_sono;4.0;80.0;;0.09999999970197677;2;mnist_roupas;671
sparse_com_sono;4.0;80.0;;0.48629999756813047;3;mnist_roupas;663
sparse_com_sono;4.0;80.0;;0.3029000000655651;4;mnist_roupas;699
sparse_com_sono;4.0;80.0;;0.09999999990686774;5;mnist_roupas;656
sparse_com_sono;4.0;80.0;;0.34000000193715096;6;mnist_roupas;716
sparse_com_sono;4.0;80.0;;0.26280000135302545;7;mnist_roupas;663
sparse_com_sono;4.0;80.0;;0.2869000005722046;8;mnist_roupas;619
sparse_com_sono;4.0;80.0;;0.09999999990686774;9;mnist_roupas;659
sparse_com_sono;4.0;80.0;;0.3222000016272068;10;mnist_roupas;670
sparse_com_sono;4.0;80.0;;0.31630000039935113;11;mnist_roupas;674
sparse_com_sono;4.0;80.0;;0.0999999999627471;12;mnist_roupas;668
sparse_com_sono;4.0;80.0;;0.31870000064373016;13;mnist_roupas;680
sparse_com_sono;4.0;80.0;;0.09999999983236194;14;mnist_roupas;675
sparse_com_sono;4.0;80.0;;0.09999999947845936;15;mnist_roupas;681
sparse_com_sono;4.0;80.0;;0.28560000061988833;16;mnist_roupas;683
sparse_com_sono;4.0;80.0;;0.31030000165104865;17;mnist_roupas;635
sparse_com_sono;4.0;80.0;;0.46279999673366545;18;mnist_roupas;636
sparse_com_sono;4.0;80.0;;0.09999999947845936;19;mnist_roupas;633
sparse_com_sono;5.0;20.0;;0.5119999983906746;1;mnist_roupas;3238
sparse_com_sono;5.0;20.0;;0.5248999950289727;2;mnist_roupas;3232
sparse_com_sono;5.0;20.0;;0.6274000012874603;3;mnist_roupas;3241
sparse_com_sono;5.0;50.0;;0.6323999959230423;1;mnist_roupas;2062
sparse_com_sono;5.0;50.0;;0.6540999990701676;2;mnist_roupas;1985
sparse_com_sono;5.0;50.0;;0.5381999984383583;3;mnist_roupas;2026
sparse_com_sono;5.0;50.0;;0.5527999982237816;4;mnist_roupas;2060
sparse_com_sono;5.0;80.0;;0.3058000020682812;1;mnist_roupas;847
sparse_com_sono;5.0;80.0;;0.0999999999627471;2;mnist_roupas;839
sparse_com_sono;5.0;80.0;;0.4813999983668327;3;mnist_roupas;833
sparse_com_sono;5.0;80.0;;0.09999999994412065;4;mnist_roupas;867
