experimento;alpha;epsilon;esparso;acuracia;seed;dataset;peso
sparse_sem_sono;1.0;0.0;;0.14609999991953374;1;mnist_roupas;796
sparse_sem_sono;1.0;0.0;;0.24039999946951865;2;mnist_roupas;796
sparse_sem_sono;1.0;0.0;;0.23260000005364417;3;mnist_roupas;796
sparse_sem_sono;1.0;0.0;;0.2282000006735325;4;mnist_roupas;796
sparse_sem_sono;1.0;0.0;;0.27470000013709067;5;mnist_roupas;796
sparse_sem_sono;1.0;0.0;;0.18140000090003014;6;mnist_roupas;796
sparse_sem_sono;1.0;0.0;;0.23310000009834766;7;mnist_roupas;796
sparse_sem_sono;1.0;0.0;;0.2031999995931983;8;mnist_roupas;796
sparse_sem_sono;1.0;0.0;;0.22090000048279762;9;mnist_roupas;796
sparse_sem_sono;1.0;0.0;;0.29200000181794167;10;mnist_roupas;796
sparse_sem_sono;1.0;0.0;;0.241700000166893;11;mnist_roupas;796
sparse_sem_sono;1.0;0.0;;0.2799000000953674;12;mnist_roupas;796
sparse_sem_sono;1.0;0.0;;0.22680000007152556;13;mnist_roupas;796
sparse_sem_sono;1.0;0.0;;0.25580000087618826;14;mnist_roupas;796
sparse_sem_sono;1.0;0.0;;0.21449999898672104;15;mnist_roupas;796
sparse_sem_sono;1.0;0.0;;0.24949999988079072;16;mnist_roupas;796
sparse_sem_sono;1.0;0.0;;0.2740000009536743;17;mnist_roupas;796
sparse_sem_sono;1.0;0.0;;0.2789000006020069;19;mnist_roupas;796
sparse_sem_sono;1.0;20.0;;0.14300000090152026;1;mnist_roupas;635
sparse_sem_sono;1.0;20.0;;0.24270000085234641;2;mnist_roupas;648
sparse_sem_sono;1.0;50.0;;0.09999999970197677;2;mnist_roupas;385
sparse_sem_sono;1.0;50.0;;0.09999999970197677;3;mnist_roupas;407
sparse_sem_sono;1.0;80.0;;0.09999999986961484;1;mnist_roupas;170
sparse_sem_sono;1.0;80.0;;0.09999999970197677;2;mnist_roupas;168
sparse_sem_sono;1.0;80.0;;0.09999999970197677;3;mnist_roupas;147
sparse_sem_sono;1.0;80.0;;0.10000000050291419;4;mnist_roupas;169
sparse_sem_sono;1.0;80.0;;0.09999999970197677;5;mnist_roupas;164
sparse_sem_sono;1.0;80.0;;0.09999999970197677;6;mnist_roupas;177
sparse_sem_sono;1.0;80.0;;0.09999999970197677;7;mnist_roupas;173
sparse_sem_sono;1.0;80.0;;0.0999999999627471;8;mnist_roupas;150
sparse_sem_sono;1.0;80.0;;0.10000000050291419;10;mnist_roupas;168
sparse_sem_sono;1.0;80.0;;0.10000000050291419;11;mnist_roupas;177
sparse_sem_sono;1.0;80.0;;0.09999999994412065;12;mnist_roupas;179
sparse_sem_sono;1.0;80.0;;0.09999999970197677;13;mnist_roupas;163
sparse_sem_sono;1.0;80.0;;0.09999999970197677;14;mnist_roupas;164
sparse_sem_sono;1.0;80.0;;0.09999999986961484;15;mnist_roupas;159
sparse_sem_sono;1.0;80.0;;0.09999999988824129;16;mnist_roupas;164
sparse_sem_sono;1.0;80.0;;0.10000000050291419;17;mnist_roupas;166
sparse_sem_sono;1.0;80.0;;0.09999999970197677;18;mnist_roupas;170
sparse_sem_sono;1.0;80.0;;0.09999999986961484;19;mnist_roupas;152
sparse_sem_sono;2.0;0.0;;0.44059999644756315;1;mnist_roupas;1596
sparse_sem_sono;2.0;0.0;;0.48849999755620954;2;mnist_roupas;1596
sparse_sem_sono;2.0;0.0;;0.3399000009894371;3;mnist_roupas;1596
sparse_sem_sono;2.0;0.0;;0.20180000022053718;4;mnist_roupas;1596
sparse_sem_sono;2.0;0.0;;0.4375999969244003;5;mnist_roupas;1596
sparse_sem_sono;2.0;0.0;;0.2896000011265278;6;mnist_roupas;1596
sparse_sem_sono;2.0;0.0;;0.46889999747276306;7;mnist_roupas;1596
sparse_sem_sono;2.0;0.0;;0.4871999964118004;8;mnist_roupas;1596
sparse_sem_sono;2.0;0.0;;0.3677999991178513;9;mnist_roupas;1596
sparse_sem_sono;2.0;0.0;;0.1915000006556511;10;mnist_roupas;1596
sparse_sem_sono;2.0;0.0;;0.3881999999284744;11;mnist_roupas;1596
sparse_sem_sono;2.0;0.0;;0.3463000002503395;12;mnist_roupas;1596
sparse_sem_sono;2.0;0.0;;0.3299000011384487;13;mnist_roupas;1596
sparse_sem_sono;2.0;0.0;;0.23490000039339065;14;mnist_roupas;1596
sparse_sem_sono;2.0;0.0;;0.3731000009179115;15;mnist_roupas;1596
sparse_sem_sono;2.0;0.0;;0.20780000053346157;16;mnist_roupas;1596
sparse_sem_sono;2.0;0.0;;0.39039999902248385;17;mnist_roupas;1596
sparse_sem_sono;2.0;0.0;;0.18399999968707562;19;mnist_roupas;1596
sparse_sem_sono;2.0;20.0;;0.32960000112652776;2;mnist_roupas;1264
sparse_sem_sono;2.0;20.0;;0.3356000021100044;3;mnist_roupas;1299
sparse_sem_sono;2.0;20.0;;0.2556000004708767;4;mnist_roupas;1271
sparse_sem_sono;2.0;50.0;;0.2264000003039837;4;mnist_roupas;824
sparse_sem_sono;2.0;80.0;;0.09999999986961484;1;mnist_roupas;348
sparse_sem_sono;2.0;80.0;;0.09999999970197677;2;mnist_roupas;334
sparse_sem_sono;2.0;80.0;;0.09999999970197677;3;mnist_roupas;327
sparse_sem_sono;2.0;80.0;;0.10000000050291419;4;mnist_roupas;341
sparse_sem_sono;2.0;80.0;;0.09999999970197677;5;mnist_roupas;332
sparse_sem_sono;2.0;80.0;;0.09999999970197677;6;mnist_roupas;362
sparse_sem_sono;2.0;80.0;;0.09999999970197677;7;mnist_roupas;338
sparse_sem_sono;2.0;80.0;;0.09999999947845936;8;mnist_roupas;315
sparse_sem_sono;2.0;80.0;;0.10000000050291419;10;mnist_roupas;345
sparse_sem_sono;2.0;80.0;;0.10000000050291419;11;mnist_roupas;345
sparse_sem_sono;2.0;80.0;;0.09999999994412065;12;mnist_roupas;359
sparse_sem_sono;2.0;80.0;;0.09999999947845936;13;mnist_roupas;328
sparse_sem_sono;2.0;80.0;;0.09999999970197677;14;mnist_roupas;335
sparse_sem_sono;2.0;80.0;;0.09999999986961484;16;mnist_roupas;322
sparse_sem_sono;2.0;80.0;;0.10000000050291419;17;mnist_roupas;296
sparse_sem_sono;2.0;80.0;;0.09999999970197677;18;mnist_roupas;323
sparse_sem_sono;2.0;80.0;;0.29319999992847445;19;mnist_roupas;323
sparse_sem_sono;3.0;0.0;;0.4549999961256981;1;mnist_roupas;2400
sparse_sem_sono;3.0;0.0;;0.5086999976634979;2;mnist_roupas;2400
sparse_sem_sono;3.0;0.0;;0.338300002515316;3;mnist_roupas;2400
sparse_sem_sono;3.0;0.0;;0.2756000021100044;4;mnist_roupas;2400
sparse_sem_sono;3.0;0.0;;0.4858999964594841;5;mnist_roupas;2400
sparse_sem_sono;3.0;0.0;;0.34350000232458117;6;mnist_roupas;2400
sparse_sem_sono;3.0;0.0;;0.429899999499321;7;mnist_roupas;2400
sparse_sem_sono;3.0;0.0;;0.47249999672174453;8;mnist_roupas;2400
sparse_sem_sono;3.0;0.0;;0.3178000009059906;9;mnist_roupas;2400
sparse_sem_sono;3.0;0.0;;0.42799999833106994;10;mnist_roupas;2400
sparse_sem_sono;3.0;0.0;;0.27600000098347666;11;mnist_roupas;2400
sparse_sem_sono;3.0;0.0;;0.5257999986410141;12;mnist_roupas;2400
sparse_sem_sono;3.0;0.0;;0.4710999983549118;13;mnist_roupas;2400
sparse_sem_sono;3.0;0.0;;0.4507999983429909;14;mnist_roupas;2400
sparse_sem_sono;3.0;0.0;;0.41709999918937685;15;mnist_roupas;2400
sparse_sem_sono;3.0;0.0;;0.30680000022053716;16;mnist_roupas;2400
sparse_sem_sono;3.0;0.0;;0.48669999599456787;18;mnist_roupas;2400
sparse_sem_sono;3.0;0.0;;0.4491999983787537;19;mnist_roupas;2400
sparse_sem_sono;3.0;20.0;;0.4824999958276749;1;mnist_roupas;1942
sparse_sem_sono;3.0;20.0;;0.25820000007748606;2;mnist_roupas;1897
sparse_sem_sono;3.0;20.0;;0.5082999947667122;3;mnist_roupas;1943
sparse_sem_sono;3.0;50.0;;0.5064999958872796;2;mnist_roupas;1163
sparse_sem_sono;3.0;50.0;;0.4318999996781349;3;mnist_roupas;1214
sparse_sem_sono;3.0;50.0;;0.3391000027954578;4;mnist_roupas;1242
sparse_sem_sono;3.0;80.0;;0.09999999986961484;1;mnist_roupas;522
sparse_sem_sono;3.0;80.0;;0.09999999970197677;2;mnist_roupas;496
sparse_sem_sono;3.0;80.0;;0.3388000012934208;3;mnist_roupas;489
sparse_sem_sono;3.0;80.0;;0.349200000166893;4;mnist_roupas;521
sparse_sem_sono;3.0;80.0;;0.22809999957680702;5;mnist_roupas;503
sparse_sem_sono;3.0;80.0;;0.38300000071525575;6;mnist_roupas;521
sparse_sem_sono;3.0;80.0;;0.3865999999642372;7;mnist_roupas;499
sparse_sem_sono;3.0;80.0;;0.09999999947845936;8;mnist_roupas;463
sparse_sem_sono;3.0;80.0;;0.3421000023186207;9;mnist_roupas;495
sparse_sem_sono;3.0;80.0;;0.09999999970197677;10;mnist_roupas;505
sparse_sem_sono;3.0;80.0;;0.10000000050291419;11;mnist_roupas;513
sparse_sem_sono;3.0;80.0;;0.3444000002741814;12;mnist_roupas;518
sparse_sem_sono;3.0;80.0;;0.4626999968290329;13;mnist_roupas;494
sparse_sem_sono;3.0;80.0;;0.09999999970197677;14;mnist_roupas;501
sparse_sem_sono;3.0;80.0;;0.49569999873638154;15;mnist_roupas;520
sparse_sem_sono;3.0;80.0;;0.41699999779462815;16;mnist_roupas;497
sparse_sem_sono;3.0;80.0;;0.3136000011861324;17;mnist_roupas;464
sparse_sem_sono;3.0;80.0;;0.2933000013232231;18;mnist_roupas;471
sparse_sem_sono;3.0;80.0;;0.35110000178217887;19;mnist_roupas;483
sparse_sem_sono;4.0;0.0;;0.44049999713897703;1;mnist_roupas;3208
sparse_sem_sono;4.0;0.0;;0.5074999979138375;2;mnist_roupas;3208
sparse_sem_sono;4.0;0.0;;0.49469999700784684;3;mnist_roupas;3208
sparse_sem_sono;4.0;0.0;;0.4666999977827072;4;mnist_roupas;3208
sparse_sem_sono;4.0;0.0;;0.5796999970078468;5;mnist_roupas;3208
sparse_sem_sono;4.0;0.0;;0.40269999831914904;6;mnist_roupas;3208
sparse_sem_sono;4.0;0.0;;0.54809999614954;7;mnist_roupas;3208
sparse_sem_sono;4.0;0.0;;0.5025999972224235;8;mnist_roupas;3208
sparse_sem_sono;4.0;0.0;;0.48799999862909316;9;mnist_roupas;3208
sparse_sem_sono;4.0;0.0;;0.49349999487400054;11;mnist_roupas;3208
sparse_sem_sono;4.0;0.0;;0.49769999414682387;12;mnist_roupas;3208
sparse_sem_sono;4.0;0.0;;0.3333999994397163;13;mnist_roupas;3208
sparse_sem_sono;4.0;0.0;;0.5054999953508377;14;mnist_roupas;3208
sparse_sem_sono;4.0;0.0;;0.467399999499321;15;mnist_roupas;3208
sparse_sem_sono;4.0;0.0;;0.47119999915361405;16;mnist_roupas;3208
sparse_sem_sono;4.0;0.0;;0.49109999746084215;17;mnist_roupas;3208
sparse_sem_sono;4.0;0.0;;0.4913999950885773;19;mnist_roupas;3208
sparse_sem_sono;4.0;20.0;;0.4715999981760979;1;mnist_roupas;2578
sparse_sem_sono;4.0;20.0;;0.5190999975800514;3;mnist_roupas;2581
sparse_sem_sono;4.0;50.0;;0.47099999606609344;2;mnist_roupas;1582
sparse_sem_sono;4.0;50.0;;0.43759999841451647;3;mnist_roupas;1621
sparse_sem_sono;4.0;50.0;;0.3981999972462654;4;mnist_roupas;1661
sparse_sem_sono;4.0;80.0;;0.34150000035762784;1;mnist_roupas;680
sparse_sem_sono;4.0;80.0;;0.2768000005185604;2;mnist_roupas;671
sparse_sem_sono;4.0;80.0;;0.48779999792575834;3;mnist_roupas;663
sparse_sem_sono;4.0;80.0;;0.44749999672174456;4;mnist_roupas;699
sparse_sem_sono;4.0;80.0;;0.3654000011086464;5;mnist_roupas;656
sparse_sem_sono;4.0;80.0;;0.488999999165535;6;mnist_roupas;716
sparse_sem_sono;4.0;80.0;;0.09999999983236194;7;mnist_roupas;663
sparse_sem_sono;4.0;80.0;;0.31600000232458114;8;mnist_roupas;619
sparse_sem_sono;4.0;80.0;;0.2011999998986721;10;mnist_roupas;670
sparse_sem_sono;4.0;80.0;;0.367900001257658;11;mnist_roupas;674
sparse_sem_sono;4.0;80.0;;0.09999999994412065;12;mnist_roupas;668
sparse_sem_sono;4.0;80.0;;0.4830999964475632;13;mnist_roupas;680
sparse_sem_sono;4.0;80.0;;0.29550000086426736;14;mnist_roupas;675
sparse_sem_sono;4.0;80.0;;0.546899995803833;15;mnist_roupas;681
sparse_sem_sono;4.0;80.0;;0.5034999948740005;16;mnist_roupas;683
sparse_sem_sono;4.0;80.0;;0.31270000249147417;17;mnist_roupas;635
sparse_sem_sono;4.0;80.0;;0.31660000041127206;18;mnist_roupas;636
sparse_sem_sono;4.0;80.0;;0.3115000006556511;19;mnist_roupas;633
sparse_sem_sono;5.0;0.0;;0.4492999973893166;1;mnist_roupas;4020
sparse_sem_sono;5.0;0.0;;0.5051999959349632;2;mnist_roupas;4020
sparse_sem_sono;5.0;0.0;;0.5725999996066093;3;mnist_roupas;4020
sparse_sem_sono;5.0;0.0;;0.513799998164177;4;mnist_roupas;4020
sparse_sem_sono;5.0;0.0;;0.5259999948740005;5;mnist_roupas;4020
sparse_sem_sono;5.0;0.0;;0.4711999961733818;6;mnist_roupas;4020
sparse_sem_sono;5.0;0.0;;0.48379999697208403;7;mnist_roupas;4020
sparse_sem_sono;5.0;0.0;;0.47369999647140504;8;mnist_roupas;4020
sparse_sem_sono;5.0;0.0;;0.5926000002026558;9;mnist_roupas;4020
sparse_sem_sono;5.0;0.0;;0.47739999562501906;10;mnist_roupas;4020
sparse_sem_sono;5.0;0.0;;0.5229999941587448;11;mnist_roupas;4020
sparse_sem_sono;5.0;0.0;;0.4805999970436096;12;mnist_roupas;4020
sparse_sem_sono;5.0;0.0;;0.5898000007867813;13;mnist_roupas;4020
sparse_sem_sono;5.0;0.0;;0.48129999697208403;14;mnist_roupas;4020
sparse_sem_sono;5.0;0.0;;0.49919999569654466;15;mnist_roupas;4020
sparse_sem_sono;5.0;0.0;;0.4932999974489212;16;mnist_roupas;4020
sparse_sem_sono;5.0;0.0;;0.524299995303154;17;mnist_roupas;4020
sparse_sem_sono;5.0;0.0;;0.5202999985218049;18;mnist_roupas;4020
sparse_sem_sono;5.0;0.0;;0.5299999949336052;19;mnist_roupas;4020
sparse_sem_sono;5.0;20.0;;0.48049999594688414;1;mnist_roupas;3238
sparse_sem_sono;5.0;20.0;;0.5641999980807304;2;mnist_roupas;3232
sparse_sem_sono;5.0;20.0;;0.46239999800920484;3;mnist_roupas;3241
sparse_sem_sono;5.0;50.0;;0.44149999707937243;3;mnist_roupas;2026
sparse_sem_sono;5.0;50.0;;0.46499999731779096;4;mnist_roupas;2060
sparse_sem_sono;5.0;80.0;;0.5659999987483024;1;mnist_roupas;847
sparse_sem_sono;5.0;80.0;;0.28299999967217443;2;mnist_roupas;839
sparse_sem_sono;5.0;80.0;;0.5347999942302704;3;mnist_roupas;833
sparse_sem_sono;5.0;80.0;;0.35529999986290933;4;mnist_roupas;867
sparse_sem_sono;5.0;80.0;;0.09999999986961484;5;mnist_roupas;824
sparse_sem_sono;5.0;80.0;;0.5151999965310097;6;mnist_roupas;882
sparse_sem_sono;5.0;80.0;;0.19969999961555004;7;mnist_roupas;827
sparse_sem_sono;5.0;80.0;;0.418099998831749;8;mnist_roupas;788
sparse_sem_sono;5.0;80.0;;0.525599998831749;10;mnist_roupas;838
sparse_sem_sono;5.0;80.0;;0.10000000050291419;11;mnist_roupas;856
sparse_sem_sono;5.0;80.0;;0.3121000011265278;12;mnist_roupas;829
sparse_sem_sono;5.0;80.0;;0.4953999936580658;13;mnist_roupas;852
sparse_sem_sono;5.0;80.0;;0.09999999970197677;14;mnist_roupas;847
sparse_sem_sono;5.0;80.0;;0.465399996638298;15;mnist_roupas;849
sparse_sem_sono;5.0;80.0;;0.09999999986961484;16;mnist_roupas;842
sparse_sem_sono;5.0;80.0;;0.2897000004351139;17;mnist_roupas;801
sparse_sem_sono;5.0;80.0;;0.5347999957203865;18;mnist_roupas;795
sparse_sem_sono;5.0;80.0;;0.44459999769926073;19;mnist_roupas;819
sparse_sem_sono;6.0;0.0;;0.5029999980330467;1;mnist_roupas;4836
sparse_sem_sono;6.0;0.0;;0.6125999969244004;2;mnist_roupas;4836
sparse_sem_sono;6.0;0.0;;0.5600999963283538;3;mnist_roupas;4836
sparse_sem_sono;6.0;0.0;;0.5076999965310097;4;mnist_roupas;4836
sparse_sem_sono;6.0;0.0;;0.5220999953150749;5;mnist_roupas;4836
sparse_sem_sono;6.0;0.0;;0.5814000004529953;6;mnist_roupas;4836
sparse_sem_sono;6.0;0.0;;0.5344999977946281;7;mnist_roupas;4836
sparse_sem_sono;6.0;0.0;;0.6049999994039535;8;mnist_roupas;4836
