experimento;alpha;epsilon;esparso;acuracia;seed;dataset;peso
sparse_sem_sono;1.0;0.0;;0.24;1;cifar;12336
sparse_sem_sono;1.0;0.0;;0.19610000036656858;2;cifar;12336
sparse_sem_sono;1.0;0.0;;0.22650000005960463;3;cifar;12336
sparse_sem_sono;1.0;0.0;;0.22909999914467336;4;cifar;12336
sparse_sem_sono;1.0;0.0;;0.23159999914467336;5;cifar;12336
sparse_sem_sono;1.0;0.0;;0.21300000011920928;6;cifar;12336
sparse_sem_sono;1.0;0.0;;0.22539999924600124;7;cifar;12336
sparse_sem_sono;1.0;0.0;;0.21479999929666518;8;cifar;12336
sparse_sem_sono;1.0;0.0;;0.21379999853670598;9;cifar;12336
sparse_sem_sono;1.0;0.0;;0.23669999971985817;10;cifar;12336
sparse_sem_sono;1.0;0.0;;0.25039999961853027;11;cifar;12336
sparse_sem_sono;1.0;0.0;;0.19910000048577786;12;cifar;12336
sparse_sem_sono;1.0;0.0;;0.22009999975562095;13;cifar;12336
sparse_sem_sono;1.0;0.0;;0.22930000014603139;14;cifar;12336
sparse_sem_sono;1.0;80.0;;0.10000000013038517;1;cifar;2465
sparse_sem_sono;1.0;80.0;;0.10000000018626451;2;cifar;2495
sparse_sem_sono;1.0;80.0;;0.10000000024214387;3;cifar;2439
sparse_sem_sono;1.0;80.0;;0.10000000024214387;4;cifar;2519
sparse_sem_sono;1.0;80.0;;0.10000000016763806;5;cifar;2525
sparse_sem_sono;1.0;80.0;;0.10000000013038517;6;cifar;2554
sparse_sem_sono;1.0;80.0;;0.09999999981373549;7;cifar;2518
sparse_sem_sono;1.0;80.0;;0.09999999981373549;8;cifar;2417
sparse_sem_sono;1.0;80.0;;0.10000000007450581;9;cifar;2501
sparse_sem_sono;1.0;80.0;;0.10000000014901161;10;cifar;2427
sparse_sem_sono;1.0;80.0;;0.09999999981373549;11;cifar;2500
sparse_sem_sono;1.0;80.0;;0.1956000007688999;12;cifar;2517
sparse_sem_sono;1.0;80.0;;0.09999999983236194;13;cifar;2579
sparse_sem_sono;1.0;80.0;;0.10000000022351742;14;cifar;2484
sparse_sem_sono;1.0;80.0;;0.09999999983236194;15;cifar;2565
sparse_sem_sono;1.0;90.0;;0.10000000013038517;1;cifar;1223
sparse_sem_sono;1.0;90.0;;0.10000000016763806;5;cifar;1296
sparse_sem_sono;1.0;90.0;;0.10000000007450581;9;cifar;1262
sparse_sem_sono;1.0;90.0;;0.09999999983236194;12;cifar;1272
sparse_sem_sono;1.0;90.0;;0.09999999983236194;13;cifar;1254
sparse_sem_sono;1.0;90.0;;0.10000000022351742;14;cifar;1224
sparse_sem_sono;1.0;90.0;;0.09999999983236194;15;cifar;1328
sparse_sem_sono;2.0;0.0;;0.2484999991953373;1;cifar;24688
sparse_sem_sono;2.0;0.0;;0.22189999967813492;2;cifar;24688
sparse_sem_sono;2.0;0.0;;0.27730000093579293;3;cifar;24688
sparse_sem_sono;2.0;0.0;;0.27009999975562093;4;cifar;24688
sparse_sem_sono;2.0;0.0;;0.2657000008225441;5;cifar;24688
sparse_sem_sono;2.0;0.0;;0.2816000008583069;6;cifar;24688
sparse_sem_sono;2.0;0.0;;0.28650000065565107;7;cifar;24688
sparse_sem_sono;2.0;0.0;;0.26300000011920927;8;cifar;24688
sparse_sem_sono;2.0;0.0;;0.2676999998092651;13;cifar;24688
sparse_sem_sono;2.0;80.0;;0.17929999999701976;2;cifar;4992
sparse_sem_sono;2.0;80.0;;0.19600000023841857;3;cifar;4951
sparse_sem_sono;2.0;80.0;;0.2225999989360571;4;cifar;5093
sparse_sem_sono;2.0;80.0;;0.19860000021755694;5;cifar;5114
sparse_sem_sono;2.0;80.0;;0.17480000019073486;6;cifar;5002
sparse_sem_sono;2.0;80.0;;0.10000000013038517;8;cifar;4891
sparse_sem_sono;2.0;80.0;;0.23130000047385693;9;cifar;4986
sparse_sem_sono;2.0;80.0;;0.21910000041127206;12;cifar;4984
sparse_sem_sono;3.0;0.0;;0.34490000039339064;1;cifar;37056
sparse_sem_sono;3.0;0.0;;0.32060000285506246;2;cifar;37056
sparse_sem_sono;3.0;0.0;;0.3425000004470348;3;cifar;37056
sparse_sem_sono;3.0;0.0;;0.3374000011384487;4;cifar;37056
sparse_sem_sono;3.0;0.0;;0.32030000165104866;5;cifar;37056
sparse_sem_sono;3.0;0.0;;0.3423000010848045;6;cifar;37056
sparse_sem_sono;3.0;0.0;;0.3366000033915043;7;cifar;37056
sparse_sem_sono;3.0;0.0;;0.33220000192523;8;cifar;37056
sparse_sem_sono;3.0;0.0;;0.34190000176429747;9;cifar;37056
sparse_sem_sono;3.0;0.0;;0.3195000019669533;10;cifar;37056
sparse_sem_sono;3.0;0.0;;0.32570000186562537;12;cifar;37056
sparse_sem_sono;3.0;0.0;;0.35060000106692313;13;cifar;37056
sparse_sem_sono;3.0;0.0;;0.3350000017881393;14;cifar;37056
sparse_sem_sono;3.0;0.0;;0.35470000088214876;15;cifar;37056
sparse_sem_sono;3.0;80.0;;0.3351000002026558;1;cifar;7504
sparse_sem_sono;3.0;80.0;;0.28149999961256983;2;cifar;7533
sparse_sem_sono;3.0;80.0;;0.3082000008225441;3;cifar;7526
sparse_sem_sono;3.0;80.0;;0.2426999995112419;4;cifar;7640
sparse_sem_sono;3.0;80.0;;0.30620000034570694;5;cifar;7575
sparse_sem_sono;3.0;80.0;;0.09999999981373549;6;cifar;7503
sparse_sem_sono;3.0;80.0;;0.33590000167489054;7;cifar;7495
sparse_sem_sono;3.0;80.0;;0.31550000175833703;8;cifar;7317
sparse_sem_sono;3.0;80.0;;0.20570000007748604;9;cifar;7502
sparse_sem_sono;3.0;80.0;;0.27440000042319296;10;cifar;7527
sparse_sem_sono;3.0;80.0;;0.3096000026166439;11;cifar;7518
sparse_sem_sono;3.0;80.0;;0.2599999997019768;12;cifar;7559
sparse_sem_sono;3.0;80.0;;0.3318000027537346;13;cifar;7586
sparse_sem_sono;3.0;80.0;;0.25089999958872794;14;cifar;7519
sparse_sem_sono;3.0;80.0;;0.2953000010550022;15;cifar;7482
sparse_sem_sono;4.0;0.0;;0.3589000025391579;1;cifar;49440
sparse_sem_sono;4.0;0.0;;0.3818999981880188;2;cifar;49440
sparse_sem_sono;4.0;0.0;;0.3880999994277954;3;cifar;49440
sparse_sem_sono;4.0;0.0;;0.3896000009775162;4;cifar;49440
sparse_sem_sono;4.0;0.0;;0.38269999966025353;5;cifar;49440
sparse_sem_sono;4.0;0.0;;0.3780999985337257;6;cifar;49440
sparse_sem_sono;4.0;0.0;;0.36110000088810923;7;cifar;49440
sparse_sem_sono;4.0;0.0;;0.3759999987483025;8;cifar;49440
sparse_sem_sono;4.0;0.0;;0.3749999997019768;9;cifar;49440
sparse_sem_sono;4.0;0.0;;0.35920000106096267;10;cifar;49440
sparse_sem_sono;4.0;0.0;;0.3676000006496906;11;cifar;49440
sparse_sem_sono;4.0;0.0;;0.37019999980926516;13;cifar;49440
sparse_sem_sono;4.0;0.0;;0.37989999979734423;14;cifar;49440
sparse_sem_sono;4.0;0.0;;0.3821999990940094;15;cifar;49440
sparse_sem_sono;4.0;80.0;;0.3254000011086464;1;cifar;10001
sparse_sem_sono;4.0;80.0;;0.36790000051259997;2;cifar;10118
sparse_sem_sono;4.0;80.0;;0.3495000013709068;3;cifar;9995
sparse_sem_sono;4.0;80.0;;0.34490000233054163;4;cifar;10212
sparse_sem_sono;4.0;80.0;;0.36269999980926515;5;cifar;10037
sparse_sem_sono;4.0;80.0;;0.3461000022292137;6;cifar;10038
sparse_sem_sono;4.0;80.0;;0.34360000044107436;7;cifar;10083
sparse_sem_sono;4.0;80.0;;0.3465000008046627;8;cifar;9811
sparse_sem_sono;4.0;80.0;;0.3328000022470951;9;cifar;9997
sparse_sem_sono;4.0;80.0;;0.3373000000417232;10;cifar;9976
sparse_sem_sono;4.0;80.0;;0.3694000007212162;11;cifar;10058
sparse_sem_sono;4.0;80.0;;0.31200000137090683;12;cifar;9974
sparse_sem_sono;4.0;80.0;;0.3771999995410442;13;cifar;10071
sparse_sem_sono;4.0;80.0;;0.3470000000298023;14;cifar;10094
sparse_sem_sono;4.0;80.0;;0.3424000011384487;15;cifar;9928
sparse_sem_sono;5.0;0.0;;0.42549999833106994;1;cifar;61840
sparse_sem_sono;5.0;0.0;;0.4180999964475632;2;cifar;61840
sparse_sem_sono;5.0;0.0;;0.4190999972820282;3;cifar;61840
sparse_sem_sono;5.0;0.0;;0.41549999922513964;4;cifar;61840
sparse_sem_sono;5.0;0.0;;0.42079999804496765;5;cifar;61840
sparse_sem_sono;5.0;0.0;;0.41689999878406525;6;cifar;61840
sparse_sem_sono;5.0;0.0;;0.40999999970197676;7;cifar;61840
sparse_sem_sono;5.0;0.0;;0.4222999984025955;8;cifar;61840
sparse_sem_sono;5.0;0.0;;0.40859999984502793;9;cifar;61840
sparse_sem_sono;5.0;0.0;;0.4244999983906746;10;cifar;61840
sparse_sem_sono;5.0;0.0;;0.3936999985575676;13;cifar;61840
sparse_sem_sono;5.0;0.0;;0.4097999984025955;14;cifar;61840
sparse_sem_sono;5.0;80.0;;0.3638999998569489;1;cifar;12442
sparse_sem_sono;5.0;80.0;;0.3713000003993511;2;cifar;12589
sparse_sem_sono;5.0;80.0;;0.386999998241663;3;cifar;12614
sparse_sem_sono;5.0;80.0;;0.39719999834895137;4;cifar;12739
sparse_sem_sono;5.0;80.0;;0.40159999936819074;5;cifar;12575
sparse_sem_sono;5.0;80.0;;0.3593000015616417;6;cifar;12490
sparse_sem_sono;5.0;80.0;;0.3831000003218651;7;cifar;12642
sparse_sem_sono;5.0;80.0;;0.40009999781847;8;cifar;12276
sparse_sem_sono;5.0;80.0;;0.3881999990344048;9;cifar;12562
sparse_sem_sono;5.0;80.0;;0.3848000006377697;10;cifar;12455
sparse_sem_sono;5.0;80.0;;0.40110000044107436;11;cifar;12589
sparse_sem_sono;5.0;80.0;;0.32240000188350676;12;cifar;12458
sparse_sem_sono;5.0;80.0;;0.37349999889731406;13;cifar;12530
sparse_sem_sono;5.0;80.0;;0.38619999945163724;14;cifar;12611
sparse_sem_sono;5.0;80.0;;0.38199999898672105;15;cifar;12406
sparse_sem_sono;8.0;0.0;;0.4753999975323677;1;cifar;99136
sparse_sem_sono;8.0;0.0;;0.4798999971151352;2;cifar;99136
sparse_sem_sono;8.0;0.0;;0.47459999650716783;3;cifar;99136
sparse_sem_sono;8.0;0.0;;0.479399995803833;4;cifar;99136
sparse_sem_sono;8.0;0.0;;0.485799997150898;5;cifar;99136
sparse_sem_sono;8.0;0.0;;0.48679999381303785;6;cifar;99136
sparse_sem_sono;8.0;0.0;;0.48569999635219574;7;cifar;99136
sparse_sem_sono;8.0;0.0;;0.48079999774694443;8;cifar;99136
sparse_sem_sono;8.0;0.0;;0.4830999964475632;9;cifar;99136
sparse_sem_sono;8.0;0.0;;0.4813999974727631;10;cifar;99136
sparse_sem_sono;8.0;0.0;;0.47259999454021456;13;cifar;99136
sparse_sem_sono;8.0;80.0;;0.4501999974250793;1;cifar;20059
sparse_sem_sono;8.0;80.0;;0.4418999990820885;2;cifar;20081
sparse_sem_sono;8.0;80.0;;0.4574999967217445;3;cifar;20292
sparse_sem_sono;8.0;80.0;;0.44449999630451204;4;cifar;20278
sparse_sem_sono;8.0;80.0;;0.45859999656677247;5;cifar;20133
sparse_sem_sono;8.0;80.0;;0.443499998152256;6;cifar;20040
sparse_sem_sono;8.0;80.0;;0.44649999737739565;7;cifar;20233
sparse_sem_sono;8.0;80.0;;0.45629999697208407;8;cifar;19896
sparse_sem_sono;8.0;80.0;;0.43579999804496766;9;cifar;20123
sparse_sem_sono;8.0;80.0;;0.4290999975800514;10;cifar;19929
sparse_sem_sono;8.0;80.0;;0.46129999548196793;11;cifar;20125
sparse_sem_sono;8.0;80.0;;0.4530999979376793;12;cifar;20010
sparse_sem_sono;8.0;80.0;;0.4331999972462654;13;cifar;20090
sparse_sem_sono;8.0;80.0;;0.4386999985575676;15;cifar;19922
sparse_sem_sono;10.0;0.0;;0.5027999958395958;1;cifar;124080
sparse_sem_sono;10.0;0.0;;0.5066999965906143;2;cifar;124080
sparse_sem_sono;10.0;0.0;;0.4930999991297722;3;cifar;124080
sparse_sem_sono;10.0;0.0;;0.5078999981284141;4;cifar;124080
sparse_sem_sono;10.0;0.0;;0.49239999771118165;5;cifar;124080
sparse_sem_sono;10.0;0.0;;0.49959999799728394;6;cifar;124080
sparse_sem_sono;10.0;0.0;;0.5019999977946281;7;cifar;124080
sparse_sem_sono;10.0;0.0;;0.5033999958634376;8;cifar;124080
sparse_sem_sono;10.0;0.0;;0.4950999963283539;9;cifar;124080
sparse_sem_sono;10.0;0.0;;0.4973999947309494;10;cifar;124080
sparse_sem_sono;10.0;0.0;;0.4997999969124794;12;cifar;124080
sparse_sem_sono;10.0;0.0;;0.4878999963402748;13;cifar;124080
sparse_sem_sono;10.0;0.0;;0.5123999953269959;14;cifar;124080
sparse_sem_sono;10.0;80.0;;0.4824999958276749;1;cifar;25165
sparse_sem_sono;10.0;80.0;;0.46639999508857727;2;cifar;25063
sparse_sem_sono;10.0;80.0;;0.4685999989509583;3;cifar;25332
sparse_sem_sono;10.0;80.0;;0.48139999687671664;4;cifar;25366
sparse_sem_sono;10.0;80.0;;0.4626999971270561;5;cifar;25234
sparse_sem_sono;10.0;80.0;;0.4846999964118004;6;cifar;25107
sparse_sem_sono;10.0;80.0;;0.4697999969124794;7;cifar;25439
sparse_sem_sono;10.0;80.0;;0.4743999978899956;8;cifar;24835
sparse_sem_sono;10.0;80.0;;0.4596999990940094;9;cifar;25198
sparse_sem_sono;10.0;80.0;;0.46789999544620514;10;cifar;25009
sparse_sem_sono;10.0;80.0;;0.476299996972084;11;cifar;25103
sparse_sem_sono;10.0;80.0;;0.47589999705553054;12;cifar;25115
sparse_sem_sono;10.0;80.0;;0.4632999974489212;13;cifar;25164
sparse_sem_sono;10.0;80.0;;0.47239999771118163;14;cifar;25224
sparse_sem_sono;10.0;90.0;;0.4446999979019165;1;cifar;12879
sparse_sem_sono;10.0;90.0;;0.4416999983787537;5;cifar;12839
sparse_sem_sono;10.0;90.0;;0.4265999975800514;9;cifar;12668
sparse_sem_sono;10.0;90.0;;0.43939999759197235;12;cifar;12646
sparse_sem_sono;10.0;90.0;;0.45709999680519103;14;cifar;12763
sparse_sem_sono;10.0;90.0;;0.4434999987483025;15;cifar;12508
sparse_sem_sono;20.0;0.0;;0.5584999960660935;1;cifar;249760
sparse_sem_sono;20.0;0.0;;0.5590999972820282;2;cifar;249760
sparse_sem_sono;20.0;0.0;;0.5532999983429909;3;cifar;249760
sparse_sem_sono;20.0;0.0;;0.5571999949216843;4;cifar;249760
sparse_sem_sono;20.0;0.0;;0.5619000008702278;5;cifar;249760
sparse_sem_sono;20.0;0.0;;0.5570000007748603;6;cifar;249760
sparse_sem_sono;20.0;0.0;;0.5650999984145164;7;cifar;249760
sparse_sem_sono;20.0;0.0;;0.5574999970197677;8;cifar;249760
sparse_sem_sono;20.0;0.0;;0.5530999940633774;9;cifar;249760
sparse_sem_sono;20.0;0.0;;0.5613999935984612;10;cifar;249760
sparse_sem_sono;20.0;0.0;;0.5559999975562095;11;cifar;249760
sparse_sem_sono;20.0;0.0;;0.5595999985933304;12;cifar;249760
sparse_sem_sono;20.0;0.0;;0.5546999964118003;13;cifar;249760
sparse_sem_sono;20.0;0.0;;0.5491999951004982;14;cifar;249760
sparse_sem_sono;20.0;0.0;;0.5584999933838845;15;cifar;249760
sparse_sem_sono;20.0;80.0;;0.5380999970436097;1;cifar;50498
sparse_sem_sono;20.0;80.0;;0.5351999974250794;2;cifar;50583
sparse_sem_sono;20.0;80.0;;0.5346999958157539;3;cifar;50897
sparse_sem_sono;20.0;80.0;;0.5380999991297721;4;cifar;50685
sparse_sem_sono;20.0;80.0;;0.5326999974250793;5;cifar;50526
sparse_sem_sono;20.0;80.0;;0.5251999953389168;6;cifar;50525
sparse_sem_sono;20.0;80.0;;0.5335999962687492;7;cifar;50859
sparse_sem_sono;20.0;80.0;;0.5310999980568886;8;cifar;50266
sparse_sem_sono;20.0;80.0;;0.5336999985575676;9;cifar;50553
