experimento;alpha;epsilon;esparso;acuracia;seed;dataset;peso
sparse_com_sono;2.0;20.0;;0.7594534474060124;1;mnist_0_2;1262
sparse_com_sono;2.0;20.0;;0.3114076916153256;2;mnist_0_2;1250
sparse_com_sono;2.0;20.0;;0.9034000669618164;3;mnist_0_2;1285
sparse_com_sono;2.0;20.0;;0.3114076916153256;4;mnist_0_2;1257
sparse_com_sono;2.0;20.0;;0.8490625952856102;5;mnist_0_2;1287
sparse_com_sono;2.0;20.0;;0.692087698615389;6;mnist_0_2;1276
sparse_com_sono;2.0;20.0;;0.8757546902612008;7;mnist_0_2;1258
sparse_com_sono;2.0;20.0;;0.9497934578712834;8;mnist_0_2;1271
sparse_com_sono;2.0;20.0;;0.3114076916153256;9;mnist_0_2;1292
sparse_com_sono;2.0;20.0;;0.9736256787691338;10;mnist_0_2;1263
sparse_com_sono;2.0;20.0;;0.9609151621034572;11;mnist_0_2;1283
sparse_com_sono;2.0;50.0;;0.7715284409392702;1;mnist_0_2;805
sparse_com_sono;2.0;50.0;;0.3114076916153256;2;mnist_0_2;754
sparse_com_sono;2.0;50.0;;0.3114076916153256;3;mnist_0_2;803
sparse_com_sono;2.0;50.0;;0.32793136739829326;4;mnist_0_2;810
sparse_com_sono;2.0;50.0;;0.9329520214312335;5;mnist_0_2;828
sparse_com_sono;2.0;50.0;;0.3114076916153256;6;mnist_0_2;799
sparse_com_sono;2.0;50.0;;0.3114076916153256;7;mnist_0_2;788
sparse_com_sono;2.0;50.0;;0.3114076916153256;8;mnist_0_2;800
sparse_com_sono;2.0;50.0;;0.3114076916153256;9;mnist_0_2;809
sparse_com_sono;2.0;50.0;;0.8522402274256325;10;mnist_0_2;789
sparse_com_sono;2.0;50.0;;0.7378455639680984;11;mnist_0_2;779
sparse_com_sono;2.0;80.0;;0.36066095048486524;1;mnist_0_2;334
sparse_com_sono;2.0;80.0;;0.36066095048486524;5;mnist_0_2;318
sparse_com_sono;2.0;80.0;;0.36066095048486524;9;mnist_0_2;320
sparse_com_sono;3.0;20.0;;0.9774388348370611;1;mnist_0_2;1921
sparse_com_sono;3.0;20.0;;0.968541476701531;2;mnist_0_2;1876
sparse_com_sono;3.0;20.0;;0.9809342296228812;3;mnist_0_2;1922
sparse_com_sono;3.0;20.0;;0.9812519901095021;4;mnist_0_2;1891
sparse_com_sono;3.0;20.0;;0.9723546284511047;5;mnist_0_2;1927
sparse_com_sono;3.0;20.0;;0.9764855485285203;6;mnist_0_2;1928
sparse_com_sono;3.0;20.0;;0.9815697568084916;7;mnist_0_2;1876
sparse_com_sono;3.0;20.0;;0.9796631787745279;8;mnist_0_2;1901
sparse_com_sono;3.0;20.0;;0.9729901577958918;9;mnist_0_2;1918
