experimento;alpha;epsilon;esparso;acuracia;seed;dataset;peso
sparse_sem_sono;2.0;80.0;;0.16239805492716536;1;mnist_0_6;342
sparse_sem_sono;2.0;80.0;;0.16239805492716536;2;mnist_0_6;328
sparse_sem_sono;2.0;80.0;;0.16239805492716536;3;mnist_0_6;321
sparse_sem_sono;2.0;80.0;;0.16239805492716536;4;mnist_0_6;335
sparse_sem_sono;2.0;80.0;;0.16239805492716536;5;mnist_0_6;326
sparse_sem_sono;2.0;80.0;;0.16239805492716536;6;mnist_0_6;356
sparse_sem_sono;2.0;80.0;;0.16239805492716536;7;mnist_0_6;332
sparse_sem_sono;2.0;80.0;;0.16239805492716536;8;mnist_0_6;309
sparse_sem_sono;2.0;80.0;;0.16239805492716536;9;mnist_0_6;328
sparse_sem_sono;2.0;80.0;;0.16239805492716536;10;mnist_0_6;339
sparse_sem_sono;2.0;80.0;;0.16239805492716536;11;mnist_0_6;339
sparse_sem_sono;3.0;0.0;;0.6405780487160158;1;mnist_0_6;2391
sparse_sem_sono;3.0;0.0;;0.5132350776478326;2;mnist_0_6;2391
sparse_sem_sono;3.0;0.0;;0.5089426212069268;3;mnist_0_6;2391
sparse_sem_sono;3.0;0.0;;0.571183284749151;4;mnist_0_6;2391
sparse_sem_sono;3.0;0.0;;0.5545857726359235;5;mnist_0_6;2391
sparse_sem_sono;3.0;0.0;;0.6259836886621268;6;mnist_0_6;2391
sparse_sem_sono;3.0;0.0;;0.5852053216776464;7;mnist_0_6;2391
sparse_sem_sono;3.0;0.0;;0.61181856883512;8;mnist_0_6;2391
sparse_sem_sono;3.0;0.0;;0.677636287391126;9;mnist_0_6;2391
sparse_sem_sono;3.0;0.0;;0.6447274288593537;10;mnist_0_6;2391
sparse_sem_sono;3.0;0.0;;0.3808842464643992;11;mnist_0_6;2391
sparse_sem_sono;3.0;20.0;;0.6153956145274143;2;mnist_0_6;1888
sparse_sem_sono;3.0;20.0;;0.5053655700181103;3;mnist_0_6;1934
sparse_sem_sono;3.0;20.0;;0.5866361402070033;4;mnist_0_6;1903
sparse_sem_sono;3.0;20.0;;0.4627271396294396;6;mnist_0_6;1940
sparse_sem_sono;3.0;20.0;;0.706395766640924;7;mnist_0_6;1888
sparse_sem_sono;3.0;20.0;;0.4730290434769524;8;mnist_0_6;1913
sparse_sem_sono;3.0;80.0;;0.16239805492716536;1;mnist_0_6;513
sparse_sem_sono;3.0;80.0;;0.16239805492716536;2;mnist_0_6;487
sparse_sem_sono;3.0;80.0;;0.3920446427693301;3;mnist_0_6;480
sparse_sem_sono;3.0;80.0;;0.4176563171037943;4;mnist_0_6;512
sparse_sem_sono;3.0;80.0;;0.2618400353886638;5;mnist_0_6;494
sparse_sem_sono;3.0;80.0;;0.3299470597547358;7;mnist_0_6;490
sparse_sem_sono;3.0;80.0;;0.16239805492716536;8;mnist_0_6;454
sparse_sem_sono;3.0;80.0;;0.344827586168519;9;mnist_0_6;486
sparse_sem_sono;3.0;80.0;;0.16239805492716536;11;mnist_0_6;504
sparse_sem_sono;4.0;0.0;;0.5846329936399226;1;mnist_0_6;3196
sparse_sem_sono;4.0;0.0;;0.6079553541903128;2;mnist_0_6;3196
sparse_sem_sono;4.0;0.0;;0.7524681641813648;3;mnist_0_6;3196
sparse_sem_sono;4.0;0.0;;0.7094004837752651;4;mnist_0_6;3196
